prediction,bbox
DETAILS,"(845, 40, 73, 26)"
RANK,"(667, 42, 51, 24)"
1955,"(1482, 87, 39, 19)"
AE,"(1035, 120, 36, 26)"
RHINO,"(1090, 120, 81, 26)"
Dsync,"(392, 122, 81, 26)"
NEON,"(482, 122, 71, 24)"
6,"(587, 127, 16, 19)"
AYRUSGamezone,"(715, 127, 161, 21)"
2,"(1230, 127, 13, 19)"
a,"(570, 130, 18, 16)"
Jashan74625,"(372, 195, 119, 21)"
BooPJI,"(692, 192, 66, 24)"
a,"(1210, 195, 21, 18)"
61x9ine,"(1040, 197, 63, 19)"
9,"(990, 230, 11, 18)"
20,"(1210, 230, 33, 21)"
TTSX-part420,"(372, 230, 119, 23)"
KingVarun007,"(695, 232, 123, 21)"
Rubyenemy,"(1015, 232, 103, 19)"
10,"(345, 265, 23, 21)"
FearlessmyK,"(375, 267, 116, 21)"
11,"(670, 267, 16, 19)"
Pusher-limitany,"(695, 267, 146, 21)"
12,"(985, 265, 23, 21)"
glitch,"(1017, 267, 51, 21)"
a,"(1207, 265, 24, 21)"
X,"(495, 270, 16, 16)"
13,"(345, 300, 23, 23)"
01,"(570, 300, 31, 21)"
14,"(665, 300, 23, 23)"
15,"(985, 300, 23, 23)"
00,"(1207, 300, 36, 23)"
Bxex(xxxx,"(375, 305, 88, 18)"
Bhagyatej,"(695, 305, 91, 21)"
SIDDHANT,"(1035, 305, 91, 18)"
a,"(570, 337, 18, 21)"
01,"(1207, 335, 34, 23)"
16,"(345, 337, 23, 21)"
"""KANPURIYA","(374, 339, 114, 19)"
17,"(665, 337, 23, 21)"
18,"(985, 337, 23, 21)"
PsyRambo,"(1015, 340, 93, 21)"
Lucky,"(707, 342, 54, 19)"
a,"(567, 372, 24, 24)"
20,"(665, 372, 23, 24)"
21,"(985, 372, 23, 24)"
00,"(1207, 372, 36, 24)"
19,"(345, 375, 21, 21)"
Commando7896,"(375, 377, 143, 19)"
vilayatisharab,"(695, 377, 123, 21)"
sharma,"(1015, 377, 66, 19)"
22,"(345, 410, 23, 23)"
Cl,"(567, 410, 34, 23)"
23,"(665, 410, 23, 21)"
modi879,"(695, 412, 76, 21)"
24,"(985, 410, 23, 23)"
I--SSCRET)-I,"(1012, 410, 121, 23)"
C1,"(1207, 410, 34, 31)"
srini888,"(372, 415, 76, 18)"
01,"(1207, 445, 34, 21)"
25,"(345, 445, 23, 23)"
a,"(570, 447, 18, 21)"
26,"(665, 445, 23, 23)"
27,"(985, 445, 23, 23)"
SHAVNOXX,"(375, 450, 101, 18)"
lamsharkbot,"(695, 450, 118, 18)"
Verhaul,"(1015, 450, 81, 18)"
28,"(345, 482, 23, 21)"
BEASTSLAYER,"(395, 485, 131, 21)"
29,"(665, 482, 23, 21)"
CRYERDROOTUU,"(692, 482, 154, 24)"
30,"(985, 482, 23, 21)"
G.ZZALPHA,"(1015, 485, 103, 21)"
a,"(1207, 482, 21, 21)"
31,"(345, 517, 21, 24)"
32,"(665, 517, 23, 24)"
33,"(985, 517, 23, 24)"
Stream.HYPER,"(375, 522, 118, 19)"
MANDALORIAN,"(695, 522, 133, 19)"
Neel8555,"(1015, 522, 83, 19)"
35,"(665, 552, 23, 24)"
34,"(345, 555, 23, 21)"
Rebellions),"(375, 557, 101, 19)"
Mr.,"(695, 557, 26, 19)"
ROBOT,"(727, 555, 66, 21)"
36,"(985, 555, 23, 21)"
Phoenixchandu,"(1015, 557, 136, 19)"
37,"(345, 590, 23, 23)"
38,"(665, 590, 23, 21)"
39,"(985, 590, 23, 21)"
GODLIKES,"(1012, 590, 91, 23)"
pinto1839,"(375, 595, 86, 18)"
Hidayatmajeed,"(695, 595, 131, 18)"
40,"(345, 625, 23, 23)"
0,"(910, 627, 13, 19)"
Shubharyan,"(374, 628, 107, 23)"
lumierelicht,"(695, 630, 103, 18)"
42,"(987, 630, 21, 16)"
CrecentMoon,"(1015, 630, 118, 18)"
43,"(345, 662, 23, 21)"
YCKDwights,"(375, 665, 108, 21)"
61,"(570, 665, 18, 18)"
